EmployeeID,FirstName,LastName,Department,Salary,HireDate,PerformanceScore,ManagerID
E00107,Daniel,Daniels,Marketing,161945,2021-12-17 22:56:24,4.99,E00425
E00108,Ryan,King,Customer Success,80272,2023-09-03 14:24:22,3.06,E00554
E00109,Shawn,Mullins,Engineering,124393,2018-07-29 22:28:39,3.22,E00610
E00110,Stephanie,Lee,Engineering,96212,2021-09-18 16:12:40,4.2,E01182
E00111,Nancy,Kelly,Sales,181470,2018-08-31 19:29:41,3.33,E00112
E00112,Jose,Norman,Engineering,155030,2022-07-04 15:02:51,3.57,E00402
E00113,Vincent,Glenn,HR,91503,2019-09-09 00:55:48,3.62,E00122
E00114,Guy,Rivera,Customer Success,172710,2018-09-06 04:40:21,2.26,E00273
E00115,Rita,Martinez,Support,41570,2023-05-10 15:55:22,3.59,E01318
E00116,Monica,Richardson,Operations,103785,2025-06-23 15:19:45,3.12,E00398
E00117,Kenneth,Preston,Customer Success,44110,2021-12-07 12:29:23,3.25,E00471
E00118,Danielle,Paul,Engineering,114141,2024-07-12 10:24:34,4.61,E00985
E00119,Chelsea,Kline,Operations,47115,2020-01-22 08:28:28,2.72,E01231
E00120,Eric,Hughes,Finance,74062,2021-06-15 16:55:18,4.17,E01134
E00121,Kathryn,Beltran,Customer Success,57911,2023-10-16 09:28:40,3.4,E01302
E00122,Amber,Crawford,Operations,139061,2025-08-31 08:37:08,3.4,E00569
E00123,Kimberly,Jimenez,Sales,67556,2024-09-13 20:34:45,4.15,E01138
E00124,Alyssa,Glass,Engineering,163335,2023-04-22 23:06:33,3.84,E00897
E00125,Aaron,Stone,Engineering,36969,2021-10-13 05:26:53,4.0,E00820
E00126,Mario,Owen,Marketing,78753,2019-03-20 09:24:11,4.28,E00853
E00127,Andrew,Acosta,Customer Success,170542,2023-04-12 17:16:27,3.37,E00710
E00128,Sarah,Miller,Security,156863,2024-08-01 23:59:29,3.17,E00321
E00129,Natasha,Morrison,Engineering,45225,2019-04-05 07:17:51,2.84,E00179
E00130,Marie,Short,Finance,158008,2019-05-09 05:50:58,3.02,E00897
E00131,Kyle,Gardner,Marketing,189268,2019-09-20 12:14:58,5.0,E00219
E00132,Brian,Morris,Engineering,140823,2024-02-19 01:27:55,4.47,E00789
E00133,Natalie,Miller,Engineering,48669,2020-04-13 11:02:03,2.65,E00492
E00134,Stacey,Guerrero,Sales,203452,2023-09-01 16:46:06,2.67,E00061
E00135,Christopher,Parker,HR,159398,2019-04-10 20:12:24,3.94,E01078
E00136,Todd,Morrison,Sales,145677,2025-08-15 00:58:38,3.98,E00538
E00137,Chad,Simmons,Finance,83320,2022-12-14 03:25:10,3.98,E00848
E00138,Kathleen,Norris,Customer Success,213486,2018-11-13 11:54:15,3.42,E00988
E00139,Katie,Bell,Sales,181649,2019-12-30 08:33:14,3.51,E00065
E00140,David,Williams,Product,160354,2020-09-06 05:31:27,3.83,E00586
E00141,Thomas,Berg,Product,123009,2019-09-04 22:03:11,3.66,E00171
E00142,Andrea,Gomez,Sales,63625,2025-12-26 14:55:53,2.05,E01297
E00143,Joseph,Bolton,Finance,59089,2025-10-31 22:36:42,3.44,E00535
E00144,Monique,Hill,Sales,71487,2023-04-02 12:46:48,3.0,E00693
E00145,Rodney,Whitney,Sales,145448,2021-09-25 01:42:13,3.72,E00108
E00146,Jason,Gould,Engineering,85138,2020-06-18 01:16:19,5.0,E01186
E00147,Amber,Jones,Support,208895,2020-06-12 12:05:15,3.86,E00814
E00148,Jessica,Walsh,Finance,203280,2018-02-14 23:43:28,3.38,E01005
E00149,James,Cox,Engineering,89061,2021-07-07 03:37:59,4.25,E00452
E00150,Larry,Owen,Sales,196731,2019-08-04 16:26:09,3.94,E01230
E00151,Wanda,Shelton,Operations,136376,2023-09-12 21:10:15,3.89,E00590
E00152,Debra,Cisneros,Engineering,197962,2023-07-13 15:30:35,4.02,E01040
E00153,Samuel,Thomas,Engineering,114134,2025-07-23 09:04:36,5.0,E00327
E00154,Zachary,Lawson,Finance,82055,2020-10-28 00:23:34,2.81,E00608
E00155,David,Harrington,Product,54508,2020-05-24 14:37:55,3.93,E00659
E00156,Jeffrey,Johnson,Sales,208359,2024-02-04 22:45:56,2.95,E00002
E00157,Matthew,Jones,Support,193056,2020-01-21 11:27:51,3.99,E01034
E00158,Brianna,Osborne,Customer Success,145169,2019-08-15 21:23:12,2.96,E00434
E00159,Jerry,Diaz,Engineering,43125,2022-07-18 04:51:12,3.31,E00125
E00160,Jeffrey,Reyes,Customer Success,71059,2019-03-31 13:44:14,3.39,E01105
E00161,Chad,Bradley,Sales,138409,2022-01-04 10:50:59,4.28,E00485
E00162,Crystal,Jacobs,Support,183159,2021-09-17 12:58:58,4.24,E00652
E00163,Jeremy,Shelton,Support,40704,2021-06-19 00:21:48,2.73,E01174
E00164,Rebecca,Rush,Finance,146279,2020-05-06 23:22:49,3.64,E00800
E00165,Michele,Watson,Engineering,193280,2020-11-01 02:04:43,3.1,E00873
E00166,Chad,Hines,Security,153516,2018-07-14 09:08:33,2.72,E00129
E00167,John,Berry,Sales,205954,2019-08-15 16:01:31,3.45,E00438
E00168,Elizabeth,Moreno,Engineering,191995,2018-11-30 13:48:18,3.38,E00751
E00169,Jason,Sanders,Engineering,149044,2021-10-29 01:34:34,5.0,E00501
E00170,David,Banks,Support,64165,2019-06-25 13:47:26,3.9,E01082
E00171,Selena,Wright,Support,102203,2019-04-03 22:12:46,2.64,E01222
E00172,Ashley,Wilson,Engineering,39114,2023-09-05 22:12:42,3.2,E00211
E00173,Thomas,Fitzgerald,Finance,71321,2022-09-18 09:53:01,4.31,E00902
E00174,Kristen,Porter,Engineering,108297,2022-07-23 17:44:42,5.0,E00045
E00175,Lindsey,Hughes,Support,131652,2023-04-11 18:22:40,2.49,E01121
E00176,James,Hoffman,Engineering,134304,2025-02-03 22:20:21,2.28,E01303
E00177,Collin,Green,Support,191498,2022-09-18 22:31:27,4.91,E00535
E00178,Ryan,Green,Marketing,52772,2023-11-22 10:09:08,3.87,E00461
E00179,Rodney,Griffin,HR,138754,2022-03-26 06:15:35,2.99,E00391
E00180,Stuart,Davies,Engineering,38712,2025-02-02 14:13:53,3.97,E01068
E00181,Jessica,Mitchell,Sales,167439,2021-12-23 16:49:51,1.75,E00027
E00182,Emily,Hendricks,Engineering,150142,2022-02-19 19:43:47,3.6,E00794
E00183,Tracey,Henry,HR,126736,2020-05-30 22:35:35,3.83,E01121
E00184,Corey,Martinez,Operations,86924,2024-11-17 03:45:15,4.25,E00975
E00185,Richard,Farrell,Sales,38726,2020-03-31 07:12:00,2.89,E00548
E00186,Matthew,Hayes,Support,124152,2023-10-27 13:41:50,3.66,E00621
E00187,Michelle,Roach,Customer Success,62723,2018-02-08 11:41:55,2.95,E00567
E00188,John,Wallace,Support,161969,2023-10-07 17:08:00,3.78,E00704
E00189,James,Miller,Finance,135494,2020-02-13 03:24:28,2.97,E01243
E00190,Shane,Fleming,Sales,175180,2022-09-13 06:14:09,3.31,E00185
E00191,Robert,Bruce,Engineering,70643,2024-07-18 13:14:44,2.9,E01093
E00192,Joshua,Flores,Operations,197396,2023-07-31 11:06:05,4.06,E01154
E00193,John,Reed,Operations,138896,2021-09-30 20:35:03,4.2,E00848
E00194,Sandra,Brown,Support,174999,2023-06-10 00:44:07,3.44,E00599
E00195,Scott,Daniels,Sales,128680,2018-09-29 04:12:42,3.63,E00806
E00196,Michelle,Vance,Sales,131546,2022-05-06 09:20:02,2.59,E01178
E00197,Andrea,York,Customer Success,188515,2021-08-11 04:30:02,3.39,E00079
E00198,Brent,Joseph,Operations,114973,2019-06-21 07:50:04,3.56,E00579
E00199,Yvette,Ho,Operations,98449,2019-04-03 16:02:11,5.0,E00413
E00200,Mary,Little,Customer Success,144834,2023-01-04 10:44:41,2.82,E00546
E00201,Tanya,Leon,Support,60537,2023-04-23 12:03:38,4.62,E00169
E00202,Sara,Hicks,Engineering,112576,2020-11-28 00:19:57,4.3,E00681
E00203,Melinda,Martinez,Engineering,142522,2022-03-19 19:41:41,3.8,E00583
E00204,Gabriel,Harris,Operations,57612,2024-11-22 04:41:14,4.83,E00515
E00205,Todd,Taylor,Support,41471,2019-10-08 13:48:47,3.86,E01338
E00206,Jason,Tyler,Engineering,201703,2023-05-01 04:02:34,3.87,E00032
E00207,Richard,Johnson,Engineering,66348,2022-10-08 02:22:33,3.56,E00287
E00208,Brian,Spencer,Support,36177,2020-10-12 19:02:10,4.46,E00594
E00209,Nicholas,Wood,Engineering,170832,2021-03-06 20:08:17,4.37,E01067
E00210,Tricia,Lara,Engineering,67779,2018-02-05 02:35:49,3.16,E00617
E00211,Joseph,Arnold,Support,56636,2018-11-05 21:08:10,2.68,E01025
E00212,Kristen,Salazar,Support,116889,2021-01-01 16:49:00,3.46,E00270
E00213,Spencer,Miller,Support,88551,2020-11-11 01:25:34,3.04,E01204
E00214,Rodney,Parker,Engineering,177628,2024-11-07 23:19:16,3.56,E00518
E00215,Susan,Key,Customer Success,193670,2023-05-05 20:50:37,4.47,E01127
E00216,Wendy,Higgins,Engineering,177635,2018-09-08 22:14:01,3.28,E01034
E00217,Angela,Fox,Sales,81819,2021-05-31 21:23:48,3.57,E00583
E00218,Jennifer,Hammond,Customer Success,108770,2021-02-16 08:29:45,3.64,E01114
E00219,Eric,Morrow,Support,193038,2025-04-20 09:46:36,4.19,E00226
E00220,Kenneth,Jones,Security,193059,2025-11-18 01:47:16,2.03,E00670
E00221,Tanya,Compton,Support,113714,2020-07-04 14:31:05,3.18,E00917
E00222,Beth,Day,Support,59596,2018-03-14 21:51:32,3.75,E00126
E00223,Amy,Cole,Engineering,199246,2022-12-20 17:51:30,4.44,E00956
E00224,Julie,Frazier,Sales,99106,2019-10-29 07:12:22,3.26,E01233
E00225,Brian,Cooper,Sales,94182,2018-11-26 11:09:57,2.29,E01121
E00226,Breanna,Humphrey,Sales,122163,2023-07-04 10:13:23,4.03,E00074
E00227,Wesley,Deleon,Product,74310,2025-10-22 06:43:29,3.16,E01215
E00228,Melissa,Bowman,Marketing,91088,2019-12-08 06:02:35,2.77,E00056
E00229,Eric,White,Operations,163803,2024-03-05 21:46:48,3.16,E00720
E00230,Susan,Burch,Support,174978,2024-05-01 04:22:08,3.47,E00553
E00231,Christopher,Reynolds,Customer Success,71914,2021-07-01 15:19:56,3.18,E00032
E00232,Jacob,Bartlett,Finance,145350,2023-03-25 03:28:12,2.06,E00574
E00233,Brooke,Brown,Support,80379,2024-01-16 00:13:46,4.23,E00667
E00234,Emma,Martinez,Finance,203722,2021-03-20 22:14:06,4.49,E00284
E00235,Joe,Hernandez,Engineering,212953,2021-08-14 12:18:05,4.06,E00187
E00236,David,Martin,Customer Success,81413,2019-12-21 21:34:43,2.8,E00498
E00237,Pamela,Morris,Sales,172084,2022-03-18 22:02:56,3.46,E00130
E00238,John,Fletcher,Engineering,216187,2019-06-07 13:11:08,3.6,E00639
E00239,Brooke,Reed,Support,42151,2022-07-11 11:26:23,4.02,E01316
E00240,Christine,Everett,Engineering,92716,2021-10-18 06:36:31,4.07,E00114
E00241,Robert,Jacobson,HR,128747,2021-03-16 02:59:33,3.09,E01223
E00242,Brandy,Singleton,Product,202450,2023-08-21 09:11:31,3.66,E00013
E00243,Alexandra,King,Operations,208724,2023-10-20 02:30:28,3.92,E01295
E00244,Sarah,Reid,Sales,179539,2021-12-19 19:23:16,4.62,E01239
E00245,James,Pierce,Engineering,197082,2023-07-01 05:21:44,4.09,E00444
E00246,Jennifer,Martinez,HR,156999,2025-04-24 00:17:52,4.15,E00447
E00247,John,Turner,Marketing,149793,2022-05-23 12:43:56,3.66,E00986
E00248,Randy,Ferguson,Product,143177,2023-09-05 03:46:41,4.59,E00993
E00249,Emily,Shaw,Product,47289,2023-11-25 06:59:56,3.89,E00715
E00250,Kevin,Jackson,Security,211048,2019-08-15 15:25:09,3.0,E00074
E00251,Leslie,David,Sales,209668,2020-11-17 08:53:14,4.58,E00537
E00252,Karen,Moore,Marketing,189243,2021-07-18 21:55:34,4.09,E00101
E00253,Charles,Hopkins,Security,121365,2018-05-27 05:10:10,3.29,E00176
E00254,Stephen,Le,Sales,149014,2023-12-12 15:00:18,3.26,E00427
E00255,Yolanda,Jacobs,Engineering,210211,2025-02-14 11:59:37,3.81,E01141
E00256,Wendy,Kirby,Support,214785,2019-12-13 14:25:37,3.92,E01190
E00257,Charles,Elliott,HR,195806,2019-04-10 00:58:07,3.74,E00041
E00258,Jason,Bryan,Support,107588,2020-12-05 10:52:28,3.82,E00429
E00259,Joseph,Johnson,Support,98646,2018-12-21 03:04:18,4.79,E00344
E00260,Sarah,Williams,Engineering,38654,2025-02-06 10:20:41,4.35,E00366
E00261,Nicole,May,Support,53743,2025-11-05 16:14:40,3.73,E01144
E00262,Natasha,Ray,Product,83368,2019-01-06 03:51:48,4.26,E00609
E00263,Mike,Curtis,Engineering,172513,2022-01-28 17:19:41,2.88,E00657
E00264,Eric,Wang,Finance,154735,2025-02-17 04:30:54,3.88,E00728
E00265,Martha,Butler,Operations,190683,2020-10-03 12:26:19,4.87,E00229
E00266,Jade,Fowler,Customer Success,154891,2024-06-21 02:06:12,3.45,E00825
E00267,Cheryl,Jimenez,Support,142971,2021-12-08 11:46:51,3.01,E01154
E00268,Vanessa,Burton,Customer Success,47149,2020-06-23 03:44:10,3.14,E00889
E00269,Destiny,Roberts,Sales,135102,2025-11-08 17:18:30,2.84,E01342
E00270,Alan,Frye,Sales,94189,2024-02-07 09:28:35,3.05,E00984
E00271,Lisa,Webb,Customer Success,187747,2022-09-25 18:37:38,3.34,E00836
E00272,Kevin,Ballard,Customer Success,106031,2023-06-24 10:37:52,2.62,E01297
E00273,Elizabeth,Cohen,Security,77668,2020-06-12 04:11:07,3.61,E00117
E00274,Sheila,Evans,Operations,179745,2020-10-15 06:52:46,4.23,E00818
E00275,Dennis,Jones,Finance,123204,2019-12-07 17:19:19,2.96,E00368
E00276,Darrell,Brown,Finance,189741,2018-11-22 06:59:46,4.66,E01118
E00277,Daniel,Gonzales,Customer Success,200140,2021-06-22 16:19:24,3.96,E00168
E00278,Angela,Washington,Support,175507,2018-03-03 08:35:58,4.32,E00954
E00279,Joseph,Harris,Customer Success,218321,2018-07-31 14:42:41,3.14,E00661
E00280,Cassandra,Lawson,Customer Success,72384,2024-12-30 00:00:10,4.2,E00695
E00281,Jennifer,Edwards,Operations,116929,2020-09-11 17:03:31,2.84,E00925
E00282,James,Higgins,Sales,162959,2021-08-24 04:21:06,4.22,E00152
E00283,Cynthia,Gross,Sales,111153,2022-05-30 00:46:52,3.72,E00586
E00284,Joseph,Valencia,Engineering,110388,2025-09-02 02:14:40,3.99,E00913
E00285,Tracy,Hester,Support,66401,2024-05-29 06:08:34,2.78,E00274
E00286,Rebecca,Anderson,Engineering,154503,2018-09-22 04:45:47,2.97,E00496
E00287,Meghan,Wood,Finance,162834,2024-11-14 20:10:57,4.02,E00101
E00288,Christopher,Hoffman,Support,69084,2019-10-25 07:05:57,2.94,E00557
E00289,Rodney,Flores,Sales,145641,2018-12-08 21:00:40,3.92,E01106
E00290,Joshua,Owens,Support,140111,2023-10-15 17:59:51,2.64,E00073
E00291,Adam,Adams,Engineering,202523,2025-12-01 04:09:29,4.19,E01038
E00292,Kellie,Wright,Engineering,173299,2021-04-05 08:06:42,2.74,E00157
E00293,Dana,Davis,Security,197982,2019-11-18 14:28:52,3.99,E00735
E00294,Jose,Roberts,Sales,71041,2023-11-24 08:25:10,4.04,E00132
E00295,Joyce,Cruz,Engineering,123920,2020-09-28 01:16:04,3.11,E01019
E00296,Andrea,Gilbert,Finance,100681,2021-02-16 13:09:27,4.01,E00559
E00297,Ronald,Wright,Customer Success,116571,2023-05-16 13:03:23,3.78,E00107
E00298,Alec,Grimes,Engineering,162556,2023-06-15 06:47:32,3.22,E00265
E00299,Charles,Moore,Support,61160,2023-03-07 06:41:20,2.89,E01229
E00300,Nicole,Murphy,Engineering,52633,2021-03-08 11:03:00,2.23,E01103
E00301,Rebecca,Lane,Engineering,52014,2023-11-09 18:19:15,3.84,E00155
E00302,Amy,Edwards,Finance,115532,2022-05-07 21:15:33,2.5,E00988
E00303,Mary,Hines,Support,84104,2023-06-24 19:48:34,3.67,E00997
E00304,Brandi,Jimenez,Support,207693,2019-01-02 11:35:26,3.42,E00247
E00305,Earl,Robertson,Customer Success,112231,2021-08-11 18:09:03,4.08,E00531
E00306,David,Jimenez,Product,103388,2022-02-25 21:12:58,3.39,E00858
E00307,Kyle,Parker,Finance,51014,2022-09-09 17:57:08,3.37,E00538
E00308,Rachel,Johnson,Sales,127578,2022-12-26 10:03:13,4.11,E00729
E00309,Laura,Landry,Customer Success,199827,2022-09-19 02:59:22,3.83,E01178
E00310,Michelle,Wagner,Sales,75390,2023-07-30 04:04:05,3.82,E00154
E00311,Rachel,Levy,Marketing,58711,2022-07-18 15:47:56,3.93,E00092
E00312,Jason,Lewis,Engineering,126658,2020-11-08 05:54:54,2.53,E00338
E00313,John,Gomez,Engineering,92993,2025-10-27 19:22:51,4.13,E01155
E00314,Curtis,Williams,Product,193285,2023-03-04 01:46:29,4.03,E00450
E00315,Kimberly,Simpson,Security,42421,2018-10-08 23:30:28,2.89,E00810
E00316,Nicole,Khan,Support,52727,2025-12-11 02:14:13,3.43,E00787
E00317,Richard,Pena,Marketing,147418,2023-07-07 18:03:54,3.57,E00273
E00318,Christine,Ruiz,Engineering,39358,2024-09-17 20:00:38,3.51,E00588
E00319,Eric,Herrera,Engineering,100108,2025-11-10 07:45:08,3.83,E00177
E00320,Sarah,Boone,Sales,129018,2024-01-07 17:22:24,4.6,E00831
E00321,Michelle,Jordan,Support,159457,2025-08-03 15:22:31,4.36,E00643
E00322,Theresa,Khan,Customer Success,198189,2021-07-04 21:54:27,2.68,E01073
E00323,Lisa,Luna,Support,66910,2021-12-26 14:52:24,4.04,E00567
E00324,Nicole,Gallagher,Sales,161888,2018-04-14 22:09:49,4.53,E00666
E00325,Angel,Diaz,Product,90754,2022-09-10 01:52:57,3.87,E01332
E00326,Jill,Morales,Customer Success,144847,2018-11-22 05:00:59,4.36,E00868
E00327,Martin,Hudson,Support,195443,2022-05-16 02:00:37,5.0,E01070
E00328,Sarah,Lee,Support,217573,2021-03-28 21:41:36,4.32,E00302
E00329,Leah,Tran,Marketing,73467,2019-08-01 05:49:38,3.77,E00868
E00330,Michelle,Jones,Sales,183697,2021-06-05 11:40:02,4.33,E00912
E00331,Lisa,Gordon,Sales,68893,2019-10-04 09:10:49,3.7,E00408
E00332,Joseph,Duran,Customer Success,111329,2023-12-02 18:27:59,3.62,E01213
E00333,Kristin,Ramirez,Engineering,66007,2022-03-30 14:08:43,3.35,E00822
E00334,Daniel,Hays,Engineering,205604,2024-04-01 01:42:03,4.69,E01153
E00335,Monica,Becker,Engineering,89253,2018-08-18 17:19:47,3.03,E00561
